n,trial_index,total_s,read_s,compute_s,write_s
2000,35,0.023254871,0.013526917,0.009640217,7.4863e-05
2000,36,0.022995949,0.013238907,0.009671211,7.391e-05
2000,37,0.022716045,0.013041973,0.009589195,7.2956e-05
2000,38,0.022597075,0.012906075,0.009604931,7.4148e-05
2000,39,0.022548914,0.012871027,0.009591103,7.4863e-05
2000,40,0.022580862,0.012916088,0.009579897,7.1049e-05
2000,41,0.022683144,0.012996197,0.009600878,7.3195e-05
2000,42,0.022619009,0.01293087,0.009595871,7.7963e-05
2000,43,0.022619009,0.012934208,0.009599924,7.2002e-05
2000,44,0.022603035,0.012880087,0.009630919,7.9155e-05
2000,45,0.022751808,0.013089895,0.009569168,8.0824e-05
2000,46,0.022768021,0.013057947,0.009622097,7.6056e-05
2000,47,0.023571968,0.013102055,0.010383844,7.4148e-05
2000,48,0.022421122,0.012760878,0.009577036,7.0095e-05
2000,49,0.022516966,0.012880087,0.009552956,7.1049e-05
2000,50,0.023169994,0.013012886,0.01006794,7.7009e-05
2000,51,0.022789001,0.013093948,0.009608984,7.2002e-05
2000,52,0.022727966,0.012933969,0.009705067,7.6056e-05
2000,53,0.023952007,0.014241219,0.009625912,7.2002e-05
2000,54,0.022614956,0.012938976,0.009590149,7.391e-05
2000,55,0.023204803,0.01352191,0.009592772,7.7009e-05
2000,56,0.022915125,0.013014793,0.009812832,7.5102e-05
2000,57,0.023184061,0.013406038,0.009687185,7.7963e-05
2000,58,0.022891045,0.013140917,0.009662151,7.4863e-05
2000,59,0.023008108,0.01324892,0.009673119,7.2956e-05
2000,60,0.022705078,0.013025045,0.009595156,7.391e-05
2000,61,0.022798061,0.013076067,0.009623051,8.6069e-05
2000,62,0.02256608,0.012932062,0.009546995,7.4148e-05
2000,63,0.022498131,0.012785912,0.00962615,7.2956e-05
2000,64,0.022698164,0.01294589,0.009659052,8.1062e-05
2000,65,0.02324605,0.013345957,0.009802103,7.7963e-05
2000,66,0.022678852,0.012984991,0.00960803,7.2956e-05
2000,67,0.022582054,0.012876034,0.00962019,7.2956e-05
2000,68,0.022442102,0.012784004,0.009564877,8.0109e-05
2000,69,0.024017096,0.013882875,0.010034084,8.7023e-05
2000,70,0.023185968,0.013307095,0.009762049,0.000104904
2000,71,0.02407217,0.01396513,0.010011911,8.3208e-05
2000,72,0.02257514,0.012952089,0.009538174,7.2002e-05
2000,73,0.022694111,0.013047934,0.009560823,7.3195e-05
2000,74,0.022994041,0.013310909,0.009601116,7.0095e-05
2000,75,0.022633791,0.012964964,0.009581089,7.5817e-05
2000,76,0.022695065,0.012933016,0.009667873,8.1062e-05
2000,77,0.023074865,0.013372898,0.00961113,7.8917e-05
2000,78,0.023075104,0.013344049,0.009639978,7.8201e-05
2000,79,0.023010969,0.013219118,0.009706974,7.2956e-05
2000,80,0.024060965,0.013637066,0.010334969,7.4863e-05
2000,81,0.023753166,0.014044046,0.009615898,8.0109e-05
2000,82,0.023043871,0.013226032,0.009714127,9.1791e-05
2000,83,0.022716045,0.013003826,0.009624004,7.4863e-05
2000,84,0.022737026,0.013109207,0.009542942,7.2002e-05
2000,85,0.023048878,0.013271093,0.00968194,8.297e-05
2000,86,0.022779942,0.013028145,0.009663105,7.6771e-05
2000,87,0.022670984,0.012955189,0.009629965,7.2956e-05
2000,88,0.022650003,0.012961864,0.009601831,7.3195e-05
3000,1,0.052915096,0.03055191,0.02229023,5.8889e-05
3000,2,0.060247898,0.038343906,0.021789789,0.000102043
3000,3,0.051948071,0.029766798,0.022075891,9.203e-05
3000,4,0.05230999,0.030134916,0.022073984,8.6069e-05
3000,5,0.054527044,0.031503916,0.022894144,0.000115871
3000,6,0.053133965,0.030606985,0.022387028,0.000128031
3000,7,0.051732063,0.029789925,0.021840811,8.7976e-05
3000,8,0.051604033,0.029793024,0.02171278,8.4877e-05
3000,9,0.051587105,0.029813051,0.021667957,9.4175e-05
3000,10,0.051952124,0.029705048,0.022129059,0.000106096
3000,11,0.054232121,0.031414032,0.022710085,9.6083e-05
3000,12,0.05200696,0.030188084,0.021710873,9.203e-05
3000,13,0.052000046,0.030277967,0.021617889,9.1076e-05
